vendor,product,iot,kev,1d,1d_uniq_ip,7d,30d,90d,history,cve,total,last_seen
Hikvision,Hikvision DS series multiple products,True,True,11,2.0,37,19,22,{},CVE-2017-7921,3425,2026-02-07 13:05:04.199467
Eaton,Intelligent Power Manager,True,True,11,2.0,9,26,54,{},CVE-2018-12031,16137,2026-02-08 13:05:44.225126
Belkin,Belkin F9K1122,True,True,11,1.0,132,163,163,{},CVE-2025-7081,263,2026-02-07 13:05:04.308642
Cisco,Cisco IOS,True,True,11,2.0,20,56,90,{},CVE-2001-0537,69717,2026-02-08 13:05:44.062520
Linksys,"Linksys RE6250, RE6300, RE6350, RE6500, RE7000 and RE9000",True,True,11,1.0,136,169,169,{},CVE-2025-8829,511,2026-02-07 13:05:04.211654
D-Link,D-Link DCS-932L,True,True,11,1.0,132,149,149,{},CVE-2025-5571,263,2026-02-07 13:05:04.245408
Yealink,Yealink Device Management (DM),True,True,10,2.0,8,24,27,{},CVE-2021-27561,5725,2026-02-08 13:05:44.149577
Wordpress,Wordpress Visual Form Builder plugin,True,True,10,1.0,4,4,4,{},CVE-2022-0142,34,2025-12-30 02:10:47.436799
Oracle,Oracle E-Business Suite (Oracle Web Applications Desktop Integrator),True,True,10,2.0,28,51,59,{},CVE-2022-21587,41183,2026-02-07 13:05:04.329262
InfluxData,InfluxDB,True,True,10,3.0,14,29,24,"{'07/02/2026': {'connections': 10, 'uniq_ips': 2}}",CVE-2019-20933,11540,2026-02-06 13:16:16.426550
Oracle,Oracle Access Manager (Oracle Fusion Middleware),True,True,10,2.0,11,59,88,{},CVE-2021-35587,37420,2026-02-08 13:05:44.112612
Ruby Dragonfly,Ruby Dragonfly,True,True,10,2.0,8,23,41,{},CVE-2021-33564,8758,2026-02-08 13:05:44.150922
Pascom,Pascom Cloud Phone System,True,True,10,2.0,9,39,27,{},CVE-2021-45967,15216,2026-02-08 13:05:44.044451
Spring,Spring Cloud Function,True,True,10,1.0,10,10,317,{},CVE-2022-22963,1797,2026-02-06 13:16:16.286539
MiniIO,MiniIO Console,True,True,10,2.0,26,47,33,{},CVE-2021-41266,20195,2026-02-07 13:05:04.366984
BYTEVALUE,BYTEVALUE Intelligent Flow Control Router,True,True,10,1.0,159,233,244,{},CVE-2023-7311,8086,2026-02-08 13:05:44.050752
WSO2,WSO2 multiple products,True,True,10,2.0,23,37,43,{},CVE-2022-29464,18521,2026-02-07 13:05:04.344385
Pulse Secure,Pulse Secure VPN,True,True,10,2.0,276,329,363,{},CVE-2019-11510,270894,2026-02-08 13:05:44.092599
Wordpress,Wordpress ARPrice Lite plugin,True,True,10,2.0,17,37,31,{},CVE-2022-0867,14101,2026-02-07 13:05:04.187966
Cybele Software,Thinfinity VirtualUI,True,True,10,2.0,8,24,21,{},CVE-2021-45092,5097,2026-02-08 13:05:44.212312
Progress,Kemp LoadMaster,True,True,10,2.0,8,24,45,{},CVE-2024-1212,17320,2026-02-08 13:05:44.134255
NETGEAR,NETGEAR ReadyNAS Surveillance,True,True,10,2.0,9,23,29,{},CVE-2017-18378,7933,2026-02-08 13:05:44.098461
Wordpress,Wordpress Backup and Staging by WP Time Capsule plugin,True,True,10,2.0,22,37,61,{},CVE-2024-8856,7173,2026-02-07 13:05:04.376531
WAVLINK,WAVLINK WN530H4,True,True,10,2.0,8,23,28,{},CVE-2020-12124,8540,2026-02-08 13:05:44.140659
Wordpress,Wordpress Nirweb support plugin,True,True,10,2.0,22,41,32,{},CVE-2022-0781,14589,2026-02-07 13:05:04.306590
Riello UPS,Netman 2024,True,True,10,2.0,9,23,20,{},CVE-2024-8877,3094,2026-02-08 13:05:44.195564
Wordpress,Wordpress MapSVG plugin,True,True,10,2.0,23,46,32,{},CVE-2022-0592,4439,2026-02-07 13:05:04.227109
Elastic,Kibana,True,True,10,2.0,9,21,14,{},CVE-2018-17246,7357,2026-02-08 13:05:44.209852
Wordpress,Wordpress Keydatas plugin,True,True,10,2.0,28,31,31,{},CVE-2024-6220,252,2026-02-07 13:05:04.203614
Rejetto,Rejetto HTTP File Server,True,True,10,2.0,10,44,96,{},CVE-2024-23692,24819,2026-02-08 13:05:44.183972
NETGEAR,NETGEAR (multiple routers),True,True,10,4.0,6,43,25,{},CVE-2017-5521,3371,2026-02-06 13:16:16.327167
Wordpress,Wordpress Bestbooks plugin,True,True,9,1.0,21,41,32,{},CVE-2022-0827,13898,2026-02-07 13:05:04.285289
Atlassian,Confluence,True,True,9,1.0,9,9,9,{},CVE-2024-21683,890,2026-01-20 13:06:03.838511
The Digital Craft,AtomCMS,True,True,9,1.0,23,40,43,{},CVE-2022-25487,19604,2026-02-07 13:05:04.299822
Wordpress,Wordpress HTML2WP plugin,True,True,9,1.0,16,40,31,{},CVE-2022-1574,1076,2026-02-07 13:05:04.182746
Wordpress,WordPress Fusion Builder plugin,True,True,9,1.0,17,41,33,{},CVE-2022-1386,14049,2026-02-07 13:05:04.291228
dotCMS,dotCMS,True,True,9,1.0,24,39,44,{},CVE-2022-26352,18575,2026-02-07 13:05:04.363104
Appspace,Appspace,True,True,9,2.0,9,14,14,{},CVE-2021-27670,72,2026-02-08 13:05:44.072206
Wordpress,Wordpress Business Directory Plugin,True,True,9,1.0,22,26,26,{},CVE-2024-4443,163,2026-02-07 13:05:04.355546
Roxy-WI,Roxy-WI,True,True,9,1.0,25,41,39,{},CVE-2022-31126,15870,2026-02-07 13:05:04.183154
Citrix,Application Delivery Controller,True,True,9,2.0,1774,1745,2560,{},CVE-2019-19781,980065,2026-02-08 13:05:44.205380
Wordpress,Wordpress Product Table for WooCommerce (wooproducttable) plugin,True,True,9,1.0,18,40,33,{},CVE-2022-1020,12276,2026-02-07 13:05:04.208157
Wordpress,Wordpress Simple Link Directory plugin,True,True,9,1.0,26,38,30,{},CVE-2022-0760,15387,2026-02-07 13:05:04.231062
Roxy-WI,Roxy-WI,True,True,9,1.0,22,38,39,{},CVE-2022-31137,3666,2026-02-07 13:05:04.230866
Microsoft,Open Management Infrastructure (OMI),True,True,9,1.0,22,37,37,{},CVE-2021-38647,20516,2026-02-07 13:05:04.206487
Wordpress,Wordpress Elfinder plugin,True,True,9,1.0,25,35,31,{},CVE-2020-35235,13502,2026-02-07 13:05:04.284347
Wordpress,Wordpress WP Video Gallery plugin,True,True,9,1.0,24,37,31,{},CVE-2022-0826,14857,2026-02-07 13:05:04.320858
Open Automation Software,OAS Platform,True,True,9,1.0,25,40,32,{},CVE-2022-26833,19628,2026-02-07 13:05:04.311367
Wordpress,"Wordpress Free Booking Plugin for Hotels, Restaurant and Car Rental (eaSYNC)",True,True,9,1.0,16,36,37,{},CVE-2022-1952,16332,2026-02-07 13:05:04.279582
NETGEAR,NETGEAR D6400,True,True,9,1.0,140,182,182,{},CVE-2025-7407,525,2026-02-07 13:05:04.234386
Wordpress,Wordpress WooCommerce Ultimate Gift Card plugin,True,True,9,1.0,31,40,37,{},CVE-2024-8425,993,2026-02-07 13:05:04.381232
JetBrains,TeamCity,True,True,9,2.0,117,176,426,{},CVE-2024-27198,630766,2026-02-08 13:05:44.128578
pfSense,pfSense pfBlockerNG,True,True,9,2.0,16,24,21,{},CVE-2022-31814,653,2026-02-07 13:05:04.217250
Zoho,ManageEngine Desktop Central (now Engine Central),True,True,9,1.0,28,40,35,{},CVE-2020-10189,33063,2026-02-07 13:05:04.194885
CONTEC,SolarView Compact ver.6.00,True,True,9,1.0,21,37,38,{},CVE-2022-29303,16171,2026-02-07 13:05:04.370387
D-Link,D-Link IP Cameras,True,True,9,1.0,141,191,191,{},CVE-2013-1599,1646,2026-02-08 13:05:44.106825
Wordpress,Wordpress ProfilePress plugin,True,True,9,1.0,23,45,43,{},CVE-2021-34624,18206,2026-02-07 13:05:04.212684
Emerson Dixell,XWEB-500,True,True,9,1.0,28,45,42,{},CVE-2021-45420,13261,2026-02-07 13:05:04.331532
NETGEAR,NETGEAR ProSafe FVS336Gv2/FVS336Gv3,True,True,9,1.0,25,44,36,{},CVE-2022-29383,21060,2026-02-07 13:05:04.218962
Wordpress,Wordpress SpeakOut! Email Petitions plugin,True,True,9,1.0,22,41,32,{},CVE-2022-0846,14548,2026-02-07 13:05:04.226722
Wordpress,Wordpress Perfect Survey plugin,True,True,9,2.0,25,37,32,{},CVE-2021-24762,24608,2026-02-07 13:05:04.262057
Dahua,Dahua (multiple products),True,True,9,1.0,25,37,32,{},CVE-2021-33044,16527,2026-02-07 13:05:04.233381
HooToo,HooToo TripMate Titan HT-TM05 and HT-05 routers,True,True,8,1.0,8,8,8,"{'05/08/2024': {'connections': 8, 'uniq_ips': 1}, '06/08/2024': {'connections': 8, 'uniq_ips': 1}}",CVE-2018-20841,8,2024-08-06 06:01:20.183289
Wordpress,Wordpress Users Ultra plugin,True,True,8,1.0,27,42,31,{},CVE-2022-0769,14568,2026-02-07 13:05:04.236781
Hytec Inter,Hytec Inter HWL-2511-SS,True,True,8,1.0,173,239,239,{},CVE-2022-36553,60,2026-02-08 13:05:44.137318
Cisco,Cisco RV132W/RV134W,True,True,8,2.0,13,27,18,{},CVE-2018-0127,12552,2026-02-06 13:16:16.270142
FiberHome,FiberHome ONU GPON AN550,True,True,8,1.0,8,8,8,"{'21/12/2024': {'connections': 8, 'uniq_ips': 1}}",CVE-2021-42912,8,2024-12-21 12:39:56.527574
HPE,HPE Edgeline Infrastructure Manager,True,True,8,1.0,23,45,39,{},CVE-2021-29203,23786,2026-02-07 13:05:04.181619
Wordpress,Wordpress Title Experiments Free plugin,True,True,8,1.0,17,36,30,{},CVE-2022-0784,13918,2026-02-07 13:05:04.195704
Microsoft,.NET Framework,True,True,8,7.0,7,14,17,{},CVE-2024-29059,8421,2026-02-06 13:16:16.287976
oria,gridx,True,True,8,2.0,8,24,32,{},CVE-2020-19625,7378,2026-02-08 13:05:44.057158
Wordpress,Wordpress Block and Stop Bad Bots plugin,True,True,8,1.0,22,40,41,{},CVE-2021-24499,34426,2026-02-07 13:05:04.354428
Wordpress,Wordpress Kaswara Modern VC Addons plugin,True,True,8,1.0,24,47,47,{},CVE-2021-24284,37738,2026-02-07 13:05:04.217671
Lumis,LumisXP,True,True,8,1.0,23,42,34,{},CVE-2021-27931,26496,2026-02-07 13:05:04.298550
Wordpress,"Wordpress Poll, Survey, Questionnaire and Voting system plugin",True,True,7,1.0,26,42,36,{},CVE-2021-24442,4798,2026-02-07 13:05:04.304058
Gurock (Sembi),TestRail,True,True,7,4.0,6,22,17,{},CVE-2021-40875,962,2026-02-07 13:05:04.269699
Kaseya,VSA,True,True,7,1.0,30,51,50,{},CVE-2021-30118,2863,2026-02-07 13:05:04.318549
Wordpress,Wordpress News & Blog Designer Pack plugin,True,True,7,2.0,5,21,47,{},CVE-2023-5815,1831,2026-02-08 13:05:44.204410
Wordpress,Wordpress Social Warfare plugin,True,True,7,2.0,5,51,140,{},CVE-2019-9978,31854,2026-02-08 13:05:44.224059
acmailer,acmailer,True,True,7,1.0,30,44,35,{},CVE-2021-20617,956,2026-02-07 13:05:04.253997
IBM,IBM Operational Decision Manager,True,True,7,1.0,12,44,88,{},CVE-2024-22319,19105,2026-02-06 13:16:16.252839
Rocket.Chat,Rocket.Chat,True,True,7,1.0,27,42,36,{},CVE-2021-22911,28186,2026-02-07 13:05:04.288531
D-Link,D-Link DIR-859,True,True,7,1.0,140,159,342,{},CVE-2019-17621,16491,2026-02-08 13:05:44.101051
Apache,nan,True,True,7,2.0,6,15,23,{},CVE-2023-33246,5251,2026-02-08 13:05:44.084571
Schneider Electric,"EVlink City, Parking and Smart Wallbox",True,True,7,1.0,30,54,37,{},CVE-2021-22707,40499,2026-02-07 13:05:04.228632
Lansweeper,Lansweeper,True,True,6,1.0,11,23,18,{},CVE-2019-13462,2873,2026-02-06 13:16:16.366999
Ignite Realtime,Openfire,True,True,6,1.0,11,22,18,"{'06/02/2026': {'connections': 6, 'uniq_ips': 2}}",CVE-2019-18394,8922,2026-02-06 13:16:16.290128
Wordpress,Wordpress Paid Memberships Pro plugin,True,True,6,1.0,21,36,32,{},CVE-2021-25114,35850,2026-02-07 13:05:04.323364
rConfig,rConfig,True,True,6,1.0,12,21,16,"{'06/02/2026': {'connections': 6, 'uniq_ips': 2}}",CVE-2020-10546,5732,2026-02-06 13:16:16.369657
Wordpress,Wordpress Advanced Booking Calendar plugin,True,True,6,2.0,5,20,30,{},CVE-2022-1006,1230,2026-02-08 13:05:44.062148
LOYTEC,LOYTEC LGATE-902,True,True,6,1.0,11,27,20,{},CVE-2018-14918,7670,2026-02-06 13:16:16.271524
OptiLink,ONT1GEW,True,True,6,2.0,41,45,45,{},CVE-2025-34049,54,2026-02-08 13:05:44.159354
WAVLINK,WAVLINK WL-WN533A8,True,True,6,2.0,9,31,32,{},CVE-2022-48164,6969,2026-02-06 13:16:16.264344
TopThink,ThinkPHP,True,True,6,1.0,11,23,20,{},CVE-2022-47945,5951,2026-02-06 13:16:16.450887
Yachtcontrol,Yachtcontrol,True,True,6,1.0,11,22,25,{},CVE-2019-17270,8796,2026-02-06 13:16:16.390778
Sangfor,Sangfor EDR,True,True,6,2.0,5,14,14,{},CVE-2025-34041,49,2026-02-08 13:05:44.055449
Artica,Artica Web Proxy,True,True,6,1.0,12,48,34,"{'06/02/2026': {'connections': 6, 'uniq_ips': 2}}",CVE-2020-17506,54904,2026-02-06 13:16:16.438963
Mida Solutions,Mida eFramework,True,True,6,1.0,12,23,30,"{'06/02/2026': {'connections': 6, 'uniq_ips': 2}}",CVE-2020-15920,7112,2026-02-06 13:16:16.379334
Advantech,R-SeeNet,True,True,6,1.0,11,23,29,{},CVE-2021-21805,5684,2026-02-06 13:16:16.421400
Wordpress,Wordpress InPost Gallery plugin,True,True,6,1.0,12,24,19,{},CVE-2022-4063,4206,2026-02-06 13:16:16.270713
Grafana,Grafana,True,True,6,3.0,5,23,18,{},CVE-2021-39226,11204,2026-02-06 13:16:16.420167
Apache,Apache HTTP Server,True,True,6,1.0,27,30,28,{},CVE-2024-38475,3385,2026-02-06 13:16:16.290747
Wordpress,Wordpress Welcart eCommerce plugin,True,True,6,1.0,12,22,16,{},CVE-2022-41840,4741,2026-02-06 13:16:16.254842
Linear,eMerge E3-series,True,True,6,1.0,12,25,19,{},CVE-2022-38627,898,2026-02-06 13:16:16.424111
Wordpress,Wordpress Admin Word Count Column plugin,True,True,6,1.0,12,23,17,{},CVE-2022-1390,4738,2026-02-06 13:16:16.428658
rConfig,rConfig,True,True,6,1.0,12,22,17,{},CVE-2020-10548,6142,2026-02-06 13:16:16.397382
Atlassian,JIRA Seraph,True,True,6,1.0,11,20,17,"{'06/02/2026': {'connections': 6, 'uniq_ips': 2}}",CVE-2022-0540,21329,2026-02-06 13:16:16.332539
becon,DATAGERRY,True,True,6,3.0,6,30,15,{},CVE-2024-50967,1150,2026-02-06 13:16:16.363085
SAP,SCIMono,True,True,6,1.0,12,24,30,{},CVE-2021-21479,6774,2026-02-06 13:16:16.281580
WAVLINK,WAVLINK WN579X3,True,True,6,3.0,5,24,13,{},CVE-2022-31847,11828,2026-02-06 13:16:16.405415
ConnectWise,ScreenConnect,True,True,6,1.0,11,316,127,{},CVE-2024-1709,125885,2026-02-08 13:05:44.240606
Cisco,"Cisco RV340, RV340W, RV345, and RV345P Dual WAN Gigabit VPN Routers",True,True,6,2.0,10,23,18,{},CVE-2023-20073,18054,2026-02-08 13:05:44.059348
benc-uk,KubeView,True,True,6,1.0,11,22,18,{},CVE-2022-45933,9753,2026-02-06 13:16:16.340950
LimeSurvey,LimeSurvey,True,True,6,1.0,13,24,21,{},CVE-2020-11455,5540,2026-02-06 13:16:16.249423
WyreStorm,WyreStorm Apollo VX20,True,True,6,3.0,6,30,13,{},CVE-2024-25735,17364,2026-02-06 13:16:16.417856
Emby,Emby Server,True,True,5,1.0,11,22,21,{},CVE-2020-26948,509,2026-02-06 13:16:16.442110
SpectoLabs,HoverFly,True,True,5,2.0,30,17,33,{},CVE-2025-54123,873,2026-02-07 13:05:04.239531
QNAP,QNAP QTS,True,True,5,3.0,3,6,5,{},CVE-2020-2507,1877,2026-01-24 02:10:29.388857
Zeroshell,Zeroshell Linux Router,True,True,5,1.0,11,24,33,{},CVE-2009-0545,11043,2026-02-06 13:16:16.294444
Wowza Media Systems,Wowza Streaming Engine,True,True,5,1.0,12,25,19,{},CVE-2018-19365,5471,2026-02-06 13:16:16.389839
rConfig,rConfig,True,True,5,1.0,12,19,24,{},CVE-2019-16662,16898,2026-02-06 13:16:16.356607
Wordpress,Wordpress Automatic plugin,True,True,5,1.0,12,24,19,{},CVE-2024-27954,14161,2026-02-06 13:16:16.394750
Chamilo,LMS,True,True,4,1.0,4,28,42,{},CVE-2021-34187,20302,2026-02-08 13:05:44.221475
Totolink,Totolink A720R,True,True,4,2.0,6,28,28,{},CVE-2025-4270,531,2026-02-06 13:16:16.420582
Dahua,Dahua Smart Park Integrated Management Platform,True,True,4,1.0,14,22,47,{},CVE-2023-7309,2027,2026-02-08 13:05:44.154404
Progress,Chef Automate,True,True,4,1.0,34,25,22,{},CVE-2025-8868,469,2026-02-07 13:05:04.195885
Smart Office Payroll,Smart Office Web,True,True,4,2.0,6,32,18,{},CVE-2022-47075,1387,2026-02-06 13:16:16.432863
Thruk,Thruk,True,True,4,2.0,7,27,21,{},CVE-2022-23961,15558,2026-02-06 13:16:16.345946
Mitel,"Mitel 6800 Series, 6900 Series, and 6900w Series SIP Phones, 6970 Conference Unit",True,True,4,2.0,17,13,13,{},CVE-2025-47188,18,2026-02-07 13:05:04.285702
Kentico,Kentico,True,True,4,1.0,9,13,18,{},CVE-2019-10068,1314,2026-01-27 13:06:28.012628
Alibaba,Fastjson,True,True,4,1.0,18,23,26,{},CVE-2017-18349,11456,2026-02-08 13:05:44.085185
GeoVision,GeoVision GeoWebServer,True,True,4,2.0,7,31,31,{},CVE-2021-47795,67,2026-02-06 13:16:16.374583
Cisco,Cisco Smart Licensing Utility,True,True,4,2.0,6,25,20,{},CVE-2024-20440,329,2026-02-06 13:16:16.348531
CERIO,CERIO DT-300N,True,True,4,1.0,16,24,36,{},CVE-2018-18852,9162,2026-02-08 13:05:44.095731
MinIO,MinIO,True,True,4,2.0,5,14,16,{},CVE-2023-28432,19166,2026-02-06 13:16:16.426755
Versa,Versa Concerto,True,True,4,2.0,26,21,45,{},CVE-2025-34027,2003,2026-02-06 13:16:16.284161
SolarWinds,Serv-U,True,True,4,1.0,11,16,18,{},CVE-2021-35250,13983,2026-01-27 13:06:28.040238
phpMyFAQ,phpMyFAQ,True,True,4,2.0,31,40,40,{},CVE-2025-69200,118,2026-02-06 13:16:16.419762
Bonitasoft,Bonitasoft,True,True,4,1.0,8,13,18,{},CVE-2022-25237,1273,2026-01-27 13:06:28.001853
Fortinet,Fortinet FortiWeb,True,True,4,1.0,26,38,61,"{'07/02/2026': {'connections': 4, 'uniq_ips': 1}}",CVE-2025-25257,9280,2026-02-06 13:16:16.440100
Securden,Securden Unified PAM,True,True,4,1.0,30,29,49,{},CVE-2025-53118,1536,2026-02-07 13:05:04.339300
LG,LG AC Smart II,True,True,4,2.0,27,37,30,{},CVE-2025-10204,138,2026-02-06 13:16:16.344005
Zoho,"ManageEngine OpManager OpManager Plus, OpManager MSP, Network Configuration Manager, NetFlow Analyzer, Firewall Analyzer, and OpUtils",True,True,4,2.0,15,26,19,{},CVE-2022-36923,955,2026-02-06 13:16:16.259100
Adobe,Adobe Commerce (Magento),True,True,4,1.0,31,24,44,{},CVE-2025-54236,1091,2026-02-07 13:05:04.347665
Dahua,Dahua DVR/NVR/IPC,True,True,4,1.0,10,61,73,{},CVE-2017-7927,31345,2026-02-07 13:05:04.214420
Versa,Versa Concerto,True,True,4,2.0,21,19,44,{},CVE-2025-34026,1857,2026-02-06 13:16:16.431272
Evertz,Evertz SDVN 3080ipx-10G and others,True,True,4,1.0,30,16,53,{},CVE-2025-4009,7290,2026-02-07 13:05:04.374245
Revolution PI,Revolution PI webstatus and others,True,True,4,2.0,26,23,45,"{'06/02/2026': {'connections': 4, 'uniq_ips': 1}}",CVE-2025-41646,2570,2026-02-06 13:16:16.309292
Aquatronica,Aquatronica Control System,True,True,4,2.0,30,31,31,{},CVE-2025-25037,110,2026-02-06 13:16:16.265041
Hikvision,Management-Platform,True,True,4,1.0,14,19,19,{},CVE-2025-34067,104,2026-02-08 13:05:44.063167
Cisco,Cisco Unified IP Conference Station 7937G,True,True,3,2.0,5,11,4,{},CVE-2020-16139,574,2026-02-06 13:16:16.286951
ThoughtWorks,GoCD,True,True,3,1.0,4,3,4,{},CVE-2021-43287,4593,2026-02-07 13:05:04.205053
Wordpress,Wordpress,True,True,3,1.0,3,2,4,{},CVE-2020-25213,1082,2026-02-07 13:05:04.316140
C-DATA,C-DATA Web Management System,True,True,3,2.0,3,6,12,{},CVE-2022-4257,1686,2026-02-07 13:05:04.283518
Wordpress,Wordpress LearnPress plugin,True,True,3,1.0,3,3,3,"{'09/11/2025': {'connections': 3, 'uniq_ips': 1}, '17/11/2025': {'connections': 3, 'uniq_ips': 1}}",CVE-2023-6634,7779,2025-11-09 12:48:24.429293
Jellyfin,Jellyfin,True,True,3,1.0,3,3,7,{},CVE-2021-21402,5953,2026-02-07 13:05:04.285902
Totolink,Totolink T10,True,True,3,1.0,3,3,3,"{'16/12/2025': {'connections': 3, 'uniq_ips': 1}}",CVE-2024-9001,300,2025-12-16 13:00:01.439863
Adobe,ColdFusion,True,True,3,1.0,3,3,10,{},CVE-2021-21087,66444,2026-02-07 13:05:04.244164
Samsung,WLAN AP WEA453e,True,True,3,2.0,13,14,14,{},CVE-2025-34068,43,2026-02-07 13:05:04.383483
Tenda,Tenda AC1206,True,True,3,1.0,7,7,7,{},CVE-2025-7544,13,2026-01-27 13:06:27.923947
GitLab,GitLab CE/EE,True,True,3,1.0,2,3,17,{},CVE-2021-4191,34056,2026-02-07 13:05:04.196522
Tuoshi/Dionlink,Tuoshi/Dionlink LT15D 4G Wi-Fi,True,True,3,1.0,143,637,806,{},CVE-2024-53944,25164,2026-02-08 13:05:44.083757
Node.js,Node.js,True,True,2,1.0,2,68,31,{},CVE-2021-21315,18755,2026-02-07 13:05:04.199888
Totolink,A3002RU,True,True,2,1.0,2,2,2,"{'06/12/2025': {'connections': 2, 'uniq_ips': 1}}",CVE-2018-13307,264,2025-12-06 12:51:22.434935
GLPI,GLPI,True,True,2,2.0,19,14,33,{},CVE-2025-24799,2190,2026-02-08 13:05:44.140840
Myucms,Myucms,True,True,2,2.0,31,23,28,{},CVE-2020-21650,15563,2026-02-07 13:05:04.321714
vBulletin,vBulletin,True,True,2,1.0,2,2,2,{},CVE-2025-48827,2,2025-08-02 02:11:21.528574
Adobe,ColdFusion,True,True,2,1.0,2,2,2,"{'31/12/2024': {'connections': 2, 'uniq_ips': 1}}",CVE-2023-26360,2,2024-12-31 12:42:05.570163
Apache,Tomcat,True,True,2,2.0,6,6,131,{},CVE-2025-24813,8636,2026-02-08 13:05:44.153806
Airspan,Airspot 5410,True,True,2,1.0,2,2,2,"{'15/09/2024': {'connections': 2, 'uniq_ips': 1}}",CVE-2022-36267,3,2024-09-15 12:39:34.721172
Zoho,ManageEngine OpManager,True,True,2,1.0,2,2,4,"{'08/01/2026': {'connections': 2, 'uniq_ips': 1}, '09/01/2026': {'connections': 2, 'uniq_ips': 1}, '06/02/2026': {'connections': 2, 'uniq_ips': 1}}",CVE-2018-17283,781,2026-01-08 13:01:16.047065
Fortinet,Fortinet FortiWeb,True,True,2,1.0,19,20,149,{},CVE-2025-64446,7959,2026-02-08 13:05:44.085367
Wordpress,Wordpress Youzify plugin,True,True,2,1.0,2,2,2,{},CVE-2022-1950,1019,2026-01-10 02:09:33.580047
Progress,MOVEit Transfer,True,True,2,1.0,2,2,2,"{'01/07/2024': {'connections': 2, 'uniq_ips': 1}, '02/07/2024': {'connections': 2, 'uniq_ips': 1}, '07/07/2024': {'connections': 2, 'uniq_ips': 1}, '08/07/2024': {'connections': 2, 'uniq_ips': 1}, '15/07/2024': {'connections': 2, 'uniq_ips': 1}, '16/07/2024': {'connections': 2, 'uniq_ips': 1}, '21/12/2024': {'connections': 2, 'uniq_ips': 1}, '22/12/2024': {'connections': 2, 'uniq_ips': 1}, '28/07/2025': {'connections': 2, 'uniq_ips': 1}, '29/07/2025': {'connections': 2, 'uniq_ips': 1}}",CVE-2023-34362,10,2024-07-02 12:01:13.979426
Oracle,Oracle Business Intelligence (Oracle Fusion Middleware,True,True,2,1.0,2,18,9,{},CVE-2020-14864,6930,2026-02-07 13:05:04.211876
DedeCMS,DedeCMS,True,True,2,1.0,2,2,4,{},CVE-2018-7700,7106,2026-02-07 13:05:04.226337
FlowiseAI,Flowise,True,True,2,1.0,20,25,22,{},CVE-2025-55346,416,2026-02-08 13:05:44.101268
Oracle,Oracle Fusion Middleware (Identity Manager),True,True,2,1.0,2,2,2,"{'04/12/2025': {'connections': 2, 'uniq_ips': 1}}",CVE-2025-61757,2,2025-12-04 12:59:17.574112
sar2html,sar2html,True,True,2,1.0,5,12,12,{},CVE-2025-34030,51,2026-02-07 13:05:04.238924
Zhiyuan,Zhiyuan OA,True,True,2,1.0,2,3,3,{},CVE-2025-34040,8,2026-02-07 13:05:04.200090
Landray,Landray EIS,True,True,2,1.0,2,2,2,"{'29/11/2025': {'connections': 2, 'uniq_ips': 1}}",CVE-2025-22214,2,2025-11-29 12:51:06.030802
Geutebruck,G-Cam/EFD-2250,True,True,2,1.0,2,2,2,"{'15/09/2024': {'connections': 2, 'uniq_ips': 1}}",CVE-2017-5173,3,2024-09-15 12:39:34.683092
SearchBlox,SearchBlox,True,True,2,1.0,2,19,12,{},CVE-2020-35580,5155,2026-02-07 13:05:04.229038
CWP,CWP (Control Web Panel),True,True,2,1.0,2,2,2,{},CVE-2025-48703,2,2025-08-16 12:50:50.372442
Quest,Quest KACE K1000 Systems Management Appliance,True,True,2,1.0,2,2,2,"{'29/06/2024': {'connections': 2, 'uniq_ips': 1}, '30/06/2024': {'connections': 2, 'uniq_ips': 1}}",CVE-2019-20504,2,2024-06-30 06:01:20.363331
SAP,BusinessObjects Business Intelligence Platform (Web Services),True,True,2,1.0,2,2,2,"{'15/09/2024': {'connections': 2, 'uniq_ips': 1}}",CVE-2020-6308,2,2024-09-15 12:39:34.689437
camptocamp,Terraboard,True,True,2,1.0,2,2,2,"{'15/09/2024': {'connections': 2, 'uniq_ips': 1}}",CVE-2022-1883,3,2024-09-15 12:39:34.687628
HPE,HPE intelligent Management Center (iMC) PLAT,True,True,2,1.0,23,22,27,"{'06/02/2026': {'connections': 2, 'uniq_ips': 1}}",CVE-2017-8961,9594,2026-02-06 13:16:16.396215
Selea,Selea Targa IP OCR-ANPR Camera,True,True,2,1.0,2,7,7,{},CVE-2025-34022,2,2026-02-07 13:05:04.240584
Dassualt Systems,DELMIA Apriso,True,True,2,1.0,15,28,33,{},CVE-2025-6205,852,2026-02-08 13:05:44.099667
Wordpress,Wordpress Kubio AI Page Builder plugin,True,True,2,2.0,15,16,35,{},CVE-2025-2294,3023,2026-02-07 13:05:04.190052
Palo Alto Networks,GlobalProtect,True,True,2,1.0,2,73,207,{},CVE-2024-3400,71711,2026-02-08 13:05:44.073683
D-Link,D-Link DSL-2888A,True,True,1,1.0,161,63,30,{},CVE-2020-24581,48504,2026-02-02 13:16:42.918181
Wordpress,Wordpress Core,True,True,1,1.0,1,1,1,"{'20/08/2025': {'connections': 1, 'uniq_ips': 1}, '22/10/2025': {'connections': 1, 'uniq_ips': 1}, '23/10/2025': {'connections': 1, 'uniq_ips': 1}, '17/12/2025': {'connections': 1, 'uniq_ips': 1}, '18/12/2025': {'connections': 1, 'uniq_ips': 1}}",CVE-2022-21661,117,2025-08-20 12:53:31.109648
